1	あなた		普通
2	貴方	あなた	普通
3	貴女	あなた	普通
4	貴男	あなた	普通
5	そちら		普通
6	そちら様	そちらさま	普通
7	お宅	おたく	普通
8	僕	ぼく	普通
9	貴社	きしゃ	法人
10	御社	おんしゃ	法人
11	貴行	きこう	法人
12	貴紙	きし	法人
13	貴店	きてん	法人
14	貴局	ききょく	法人
15	貴学	きがく	法人
16	貴校	きこう	法人
17	貴園	きえん	法人
18	貴院	きいん	法人
19	貴誌	きし	法人
20	貴財団	きざいだん	法人
21	貴サイト	きさいと	法人
22	貴官	きかん	敬意,目上
23	貴職	きしょく	敬意,目上
24	貴兄	きけい	敬意,目上
25	貴姉	きし	敬意,目上
26	卿	きょう	敬意,目下
27	貴兄	きけい	敬意,目下
28	貴君	きくん	敬意,目下
29	お前	おまえ	親しい
30	あんた		親しい
31	お前さん	おまえさん	親しい
32	自分	じぶん	親しい
33	(相手の名前)		親しい
34	君	きみ	親しい
35	あんさん		親しい
36	わい		親しい
37	おれ		敵対
38	おりゃ		敵対
39	おら		敵対
40	うれ		敵対
41	てめぇ		敵対
42	おのれ		敵対
43	おどれ		敵対
44	おんどれ		敵対
45	んのりゃ		敵対
46	貴様	きさま	敵対
47	我	われ	敵対
48	汝	なんじ	古風
49	其方	そち	古風
50	其方	そなた	古風
51	其の方	そのほう	古風
52	貴君	きくん	古風
53	貴殿	きでん	古風
54	貴台	きだい	古風
55	賢台	けんだい	古風
56	尊台	そんだい	古風
57	老台	ろうだい	古風
58	貴公	きこう	古風
59	お主	おぬし	古風
60	汝	うぬ	古風
61	お内	おうち	古風
62	御身	おんみ	古風
63	御身	おみ	古風
64	御事	おこと	古風
65	御許	おもと	古風
66	此方	こなた	古風
67	お父さん	おとうさん	一般名詞,血縁関係
68	パパ		一般名詞,血縁関係
69	お母さん	おかあさん	一般名詞,血縁関係
70	ママ		一般名詞,血縁関係
71	お爺ちゃん	おじいちゃん	一般名詞,血縁関係
72	お婆ちゃん	おばあちゃん	一般名詞,血縁関係
73	叔父さん	おじさん	一般名詞,血縁関係
74	叔母さん	おばさん	一般名詞,血縁関係
75	お兄さん	おにいさん	一般名詞,血縁関係
76	お姉さん	おねえさん	一般名詞,血縁関係
77	おじさん		一般名詞,血縁関係
78	おばさん		一般名詞,血縁関係
79	おじいさん		一般名詞,血縁関係
80	おばあさん		一般名詞,血縁関係
81	親父	おじき	一般名詞,血縁関係
82	お袋	おふくろ	一般名詞,血縁関係
83	兄貴	あにき	一般名詞,血縁関係
84	姉貴	あねき	一般名詞,血縁関係
85	叔父貴	おじき	一般名詞,血縁関係
86	姐さん	ねえさん	一般名詞,血縁関係
87	おっさん		一般名詞,血縁関係
88	おばはん		一般名詞,血縁関係
89	おっちゃん		一般名詞,血縁関係
90	おばちゃん		一般名詞,血縁関係
91	爺	じじい	一般名詞,血縁関係
92	婆	ばばあ	一般名詞,血縁関係
93	爺爺	じいじ	一般名詞,血縁関係
94	婆婆	ばあば	一般名詞,血縁関係
95	店長	てんちょう	職務上の立場
96	課長	かちょう	職務上の立場
97	店員さん	てんいんさん	職務上の立場
98	駅員さん	えきいんさん	職務上の立場
99	お巡りさん	おまわりさん	職務上の立場
100	ポリ公	ぽりこう	職務上の立場
101	マスター		職務上の立場
102	先生	せんせい	職務上の立場
103	師匠	ししょう	職務上の立場
104	師	し	職務上の立場
105	老師	ろうし	職務上の立場
106	お師さん	おしさん	職務上の立場
107	お師様	おししょうさま	職務上の立場
108	尊師	そんし	職務上の立場
109	先輩	せんぱい	職務上の立場
110	陛下	へいか	職務上の立場
111	殿下	でんか	職務上の立場
112	閣下	かっか	職務上の立場
113	猊下	げいか	職務上の立場
114	主上	おかみ	職務上の立場
115	上様	うえさま	職務上の立場
116	女将	おかみ	職務上の立場
117	殿	との	職務上の立場
118	お殿さん	おとのさん	職務上の立場
119	王	おう	職務上の立場
120	姫	ひめ	職務上の立場
121	姫様	ひめさま	職務上の立場
122	お姫さん	おひいさん	職務上の立場
123	御前	ごぜん	職務上の立場
124	御前様	ごぜんさま	職務上の立場
125	だんさん		職務上の立場
126	ごりょんさん		職務上の立場
127	ぼんち		職務上の立場
128	いとさん		職務上の立場
129	お客様	おきゃくさま	職務上の立場
130	患者様	かんじゃさま	職務上の立場
131	小僧	こぞう	職務上の立場
132	小童	こわっぱ	職務上の立場
133	小娘	こむすめ	職務上の立場
134	女	おんな	職務上の立場
135	餓鬼	がき	職務上の立場
